Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
Dillon Brooks,29,HOU,SF,47,47,1517,10.2,0.542,0.514,0.133,4,8.8,6.3,6.5,1.2,0.6,7.8,17.3,1.4,1.6,3,0.096,-1.8,-0.2,-2,0,4.9,11.8,0.418,2.3,6.1,0.386,2.6,5.7,0.452,0.517,1.3,1.6,0.851,1.2,2.6,3.8,1.5,0.8,0.2,1.1,3.5,13.6,brookdi01
Dyson Daniels,21,ATL,SG,45,45,1517,14.5,0.527,0.293,0.144,5.3,11.9,8.5,16,4.2,2.2,12.8,18,0.3,2.2,2.5,0.078,-1.9,2.6,0.7,1,5.7,12.2,0.469,1.2,3.6,0.323,4.6,8.6,0.53,0.516,1.1,1.8,0.608,1.7,3.6,5.3,3.8,3,0.8,1.9,2.6,13.7,daniedy01
Anfernee Simons,25,POR,SG,47,47,1515,14.6,0.553,0.522,0.173,1.1,8.3,4.7,24.3,1.3,0.3,11.3,24.2,1.8,0.5,2.3,0.073,1.4,-1.9,-0.5,0.6,6.4,15.3,0.422,2.9,8,0.368,3.5,7.3,0.481,0.518,2.4,2.6,0.895,0.3,2.4,2.8,5,0.8,0.1,2.1,1.8,18.2,simonan01
Brook Lopez,36,MIL,C,47,47,1510,13.3,0.591,0.532,0.139,3.9,11.6,7.9,7.4,1.1,5.7,8.9,15.2,1.4,1.7,3.2,0.1,-0.4,0.5,0.1,0.8,4.6,9.6,0.475,1.9,5.1,0.365,2.7,4.5,0.599,0.572,1.1,1.3,0.794,1.1,3.6,4.7,1.7,0.7,2,1,2.2,12.1,lopezbr01
Donovan Mitchell,28,CLE,SG,48,48,1500,21.2,0.585,0.5,0.22,2.4,12.7,7.7,22.7,2.2,0.6,8.9,30.6,3.3,1.8,5.1,0.164,4,-0.2,3.9,2.2,8.4,18.6,0.451,3.7,9.3,0.395,4.7,9.3,0.507,0.549,3.4,4.1,0.837,0.7,3.8,4.4,4.7,1.4,0.2,2,2,23.8,mitchdo01
Bilal Coulibaly,20,WAS,SF,45,45,1492,11.1,0.521,0.366,0.312,4.3,11.3,7.7,14.6,1.9,2.1,14.6,17.6,-0.2,0.5,0.4,0.011,-2.8,-0.7,-3.5,-0.6,4.4,10.6,0.421,1.1,3.9,0.282,3.4,6.7,0.502,0.473,2.5,3.3,0.77,1.4,3.5,4.9,3.3,1.3,0.8,2,2.4,12.5,coulibi01
Bennedict Mathurin,22,IND,SF,47,42,1490,13,0.581,0.341,0.319,4.4,15.6,10.1,8,0.9,1.1,12.4,21.7,0.7,1,1.7,0.055,-1.6,-1.8,-3.4,-0.5,5.7,12.2,0.47,1.5,4.2,0.357,4.3,8,0.529,0.531,3.2,3.9,0.82,1.2,4.5,5.7,1.8,0.6,0.4,2,2.5,16.2,mathube01
Austin Reaves,26,LAL,SG,43,43,1490,16.8,0.596,0.514,0.309,2.7,11.1,7,26.2,1.6,0.4,13.5,22.8,2.6,1,3.6,0.117,1.8,-0.9,0.9,1.1,6.1,13.6,0.451,2.6,7,0.372,3.5,6.6,0.533,0.546,3.6,4.2,0.845,0.8,3.5,4.3,6.2,1.1,0.2,2.4,1.9,18.4,reaveau01
Alperen Şengün,22,HOU,C,47,47,1476,22.3,0.538,0.09,0.338,11.5,24.7,17.9,25.5,1.9,2.3,11.9,26.5,2.8,2.8,5.5,0.18,3.3,2,5.2,2.7,7.6,15.6,0.49,0.3,1.4,0.227,7.3,14.1,0.516,0.5,3.7,5.3,0.7,3.5,7.1,10.6,5,1.3,0.8,2.4,2.8,19.2,sengual01
Jalen Williams,23,OKC,SG,45,45,1476,19.7,0.559,0.291,0.23,2.7,15.2,9.1,23.7,2.6,2.4,10.7,27.4,1.9,3.2,5.1,0.165,2.1,2,4.1,2.3,8.2,17.2,0.475,1.7,5,0.347,6.4,12.2,0.527,0.525,3.1,4,0.781,0.8,4.8,5.6,5.2,1.8,0.8,2.3,2.5,21.1,willija06
Kentavious Caldwell-Pope,31,ORL,SG,48,48,1474,9.5,0.547,0.62,0.177,1.3,6.6,3.8,8.9,2.5,1.6,9.6,12.9,0.6,2.1,2.6,0.086,-3.5,1.7,-1.8,0.1,3.2,7.7,0.416,1.5,4.8,0.311,1.7,2.9,0.586,0.512,1.2,1.4,0.877,0.4,1.6,2,1.8,1.5,0.5,0.9,1.9,9,caldwke01
Amen Thompson,22,HOU,SF,47,20,1472,18.4,0.599,0.132,0.425,9,18.9,13.8,14.4,2.2,3.4,15,17.7,2.5,2.7,5.2,0.171,1,2.3,3.4,2,5.3,9.7,0.544,0.3,1.3,0.233,5,8.4,0.591,0.559,2.9,4.1,0.715,2.7,5.4,8.1,3.1,1.4,1.2,2,2.4,13.7,thompam01
Damian Lillard,34,MIL,PG,40,40,1458,21.4,0.617,0.514,0.391,1.6,11.5,6.7,30.4,1.6,0.6,12.2,27.6,4.1,1.3,5.4,0.177,4.5,-1,3.5,2,7.7,17.3,0.446,3.4,8.9,0.38,4.3,8.4,0.515,0.543,6.2,6.8,0.922,0.5,4.1,4.6,7.3,1.2,0.2,2.8,1.8,25,lillada01
Darius Garland,25,CLE,PG,48,48,1454,22.2,0.633,0.445,0.232,2,6.9,4.5,33.1,1.8,0.6,12.4,27.8,4.8,1.3,6.2,0.203,5.4,-0.8,4.6,2.4,7.8,15.6,0.501,3,6.9,0.426,4.9,8.7,0.56,0.595,3.2,3.6,0.879,0.5,2,2.5,6.8,1.1,0.2,2.4,2.1,21.8,garlada01
Jarrett Allen,26,CLE,C,50,50,1445,22.3,0.724,0.005,0.423,10.2,27.8,19.2,8.9,1.5,2.9,10.2,15.7,5,2.4,7.4,0.247,3.1,0.9,4,2.2,5.6,8,0.701,0,0,0,5.6,8,0.705,0.701,2.5,3.4,0.741,2.6,7.6,10.2,1.9,0.9,0.9,1.1,1.4,13.8,allenja01
Kyrie Irving,32,DAL,SG,40,40,1444,19.9,0.6,0.383,0.219,3.4,10.6,7.1,21.3,1.6,0.9,10.2,26.8,3.2,1.1,4.3,0.142,4.1,-0.7,3.5,2,9,18.6,0.481,2.9,7.1,0.411,6,11.5,0.524,0.559,3.7,4.1,0.902,1.1,3.6,4.8,4.8,1.2,0.4,2.3,2.1,24.5,irvinky01
Anthony Davis,31,LAL,C,42,42,1440,27.3,0.601,0.124,0.423,9.6,29.1,19.6,17,1.8,5.7,9.4,30.4,3.8,2.5,6.3,0.209,4.5,1.3,5.8,2.9,9.5,18,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6,7.6,0.788,2.8,9,11.9,3.4,1.3,2.1,2.2,2,25.7,davisan02
Coby White,24,CHI,SG,44,44,1434,13.9,0.584,0.571,0.227,1.1,9.5,5.4,20.4,1.4,0.5,13.5,23.5,1.1,0.7,1.8,0.061,-0.4,-1.7,-2.1,-0.1,6.3,14.4,0.435,3,8.2,0.37,3.2,6.2,0.522,0.541,2.9,3.3,0.889,0.3,3,3.4,4.7,1,0.2,2.5,2.3,18.5,whiteco01
Zach LaVine,29,CHI,SF,42,42,1432,18.5,0.637,0.43,0.256,0.9,13.6,7.3,20.6,1.3,0.6,13.3,26.6,2.2,0.8,3,0.101,2.7,-1.3,1.4,1.2,8.6,16.9,0.511,3.2,7.3,0.446,5.4,9.6,0.56,0.607,3.5,4.3,0.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24,lavinza01
Giannis Antetokounmpo,30,MIL,PF,41,41,1431,30,0.62,0.037,0.513,7.3,29.3,18.7,33.2,1,3.5,11.8,36.3,4.2,2.2,6.4,0.215,6.2,1.9,8,3.6,12.7,20.9,0.608,0.1,0.8,0.188,12.6,20.1,0.624,0.611,6.2,10.7,0.577,2.3,9.9,12.2,5.9,0.8,1.3,3.4,2.4,31.8,antetgi01
Jaren Jackson Jr.,25,MEM,C,48,48,1424,21.2,0.598,0.32,0.337,5.2,16.4,10.9,11,2,5,10.2,29,2.6,2.4,5,0.168,2.3,1,3.3,1.9,8.4,16.9,0.497,2,5.4,0.362,6.5,11.5,0.561,0.555,4.5,5.7,0.781,1.4,4.7,6.1,2.2,1.3,1.6,2.2,3.4,23.3,jacksja02
Carlton Carrington,19,WAS,PG,49,34,1412,7.9,0.498,0.56,0.107,1.3,12.9,7,18.5,1.2,0.6,14.7,14.2,-0.4,0.2,-0.2,-0.006,-4.2,-1.2,-5.4,-1.2,3.1,8,0.387,1.5,4.5,0.327,1.6,3.5,0.462,0.478,0.7,0.9,0.81,0.4,3.5,3.9,3.8,0.7,0.2,1.4,2.4,8.4,carrica01
Kevin Durant,36,PHO,PF,39,39,1410,21.7,0.632,0.318,0.326,1.3,16.8,9.3,20.1,1.1,3.4,12.4,29.8,2.5,1.1,3.5,0.121,3.8,-0.5,3.3,1.9,9.8,18.6,0.524,2.4,5.9,0.398,7.4,12.7,0.583,0.587,5,6.1,0.827,0.4,5.7,6.1,4.2,0.8,1.3,3,1.7,26.9,duranke01
Tyus Jones,28,PHO,PG,48,48,1408,14.6,0.6,0.553,0.095,2,6.9,4.5,28.6,1.5,0.3,12.4,15.7,2.8,0.4,3.2,0.109,1.3,-1.3,-0.1,0.7,4.1,8.8,0.468,2,4.9,0.416,2.1,3.9,0.532,0.583,0.7,0.8,0.875,0.5,1.9,2.4,5.9,0.9,0.1,1.3,1,11,jonesty01
Myles Turner,28,IND,C,45,45,1401,15,0.6,0.453,0.273,4.9,19,12.1,6.9,1.3,5.4,13.3,20.6,0.7,1.6,2.3,0.08,-0.8,0,-0.9,0.4,5.5,11.5,0.479,2.1,5.2,0.402,3.4,6.3,0.543,0.57,2.4,3.1,0.752,1.3,5.4,6.7,1.6,0.8,1.8,2,2.9,15.4,turnemy01
Dennis Schröder,31,2TM,SG,47,41,1400,12.8,0.539,0.46,0.208,1,9.1,4.9,29.3,1.8,0.5,14.5,22.7,0.7,1,1.7,0.058,-1.4,-1.1,-2.5,-0.2,5.1,12.3,0.418,2,5.6,0.358,3.1,6.6,0.469,0.501,2.1,2.6,0.842,0.3,2.3,2.6,5.5,1.1,0.1,2.3,2.6,14.4,schrode01
Dennis Schröder,31,2TM,SG,47,41,1400,12.8,0.539,0.46,0.208,1,9.1,4.9,29.3,1.8,0.5,14.5,22.7,0.7,1,1.7,0.058,-1.4,-1.1,-2.5,-0.2,6.4,14.1,0.452,2.5,6.5,0.387,3.9,7.6,0.509,0.542,3.1,3.5,0.889,0.2,2.8,3,6.6,1.1,0.2,2.6,2.4,18.4,schrode01
Dennis Schröder,31,2TM,SG,47,41,1400,12.8,0.539,0.46,0.208,1,9.1,4.9,29.3,1.8,0.5,14.5,22.7,0.7,1,1.7,0.058,-1.4,-1.1,-2.5,-0.2,3.9,10.5,0.375,1.5,4.8,0.322,2.4,5.7,0.419,0.448,1.2,1.6,0.744,0.4,1.9,2.3,4.4,1,0.1,2,2.8,10.6,schrode01
Dennis Schröder,31,BRK,PG,23,23,772,16.3,0.588,0.462,0.249,0.6,10,5.1,33.6,1.7,0.5,14.1,23.9,1.1,0.5,1.6,0.1,1.1,-1.2,-0.1,0.4,5.1,12.3,0.418,2,5.6,0.358,3.1,6.6,0.469,0.501,2.1,2.6,0.842,0.3,2.3,2.6,5.5,1.1,0.1,2.3,2.6,14.4,schrode01
