Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
98,Fred VanVleet,30,HOU,PG,45,45,35.5,5.0,13.0,.387,2.7,7.8,.344,2.4,5.3,.450,.489,1.9,2.3,.824,0.7,3.2,3.9,5.8,1.6,0.4,1.6,2.4,14.6,,vanvlfr01
99,Dennis Schröder,31,2TM,SG,47,41,29.8,5.1,12.3,.418,2.0,5.6,.358,3.1,6.6,.469,.501,2.1,2.6,.842,0.3,2.3,2.6,5.5,1.1,0.1,2.3,2.6,14.4,,schrode01
99,Dennis Schröder,31,BRK,PG,23,23,33.6,6.4,14.1,.452,2.5,6.5,.387,3.9,7.6,.509,.542,3.1,3.5,.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4,,schrode01
99,Dennis Schröder,31,GSW,SG,24,18,26.2,3.9,10.5,.375,1.5,4.8,.322,2.4,5.7,.419,.448,1.2,1.6,.744,0.4,1.9,2.3,4.4,1.0,0.1,2.0,2.8,10.6,,schrode01
100,Christian Braun,23,DEN,SG,49,47,32.6,5.6,9.9,.569,1.0,2.7,.377,4.6,7.2,.640,.620,2.2,2.6,.829,1.3,3.5,4.8,2.0,1.1,0.5,1.0,2.2,14.4,,braunch01
101,P.J. Washington,26,DAL,PF,42,41,32.9,5.2,11.8,.439,1.6,4.3,.380,3.6,7.6,.472,.507,2.4,3.2,.750,1.6,6.7,8.4,2.3,1.2,1.0,1.9,2.5,14.4,,washipj01
102,Josh Hart,29,NYK,SG,50,50,37.6,5.5,9.9,.558,1.1,3.3,.343,4.4,6.6,.666,.615,2.1,2.6,.815,2.2,7.4,9.7,5.8,1.5,0.4,1.9,2.6,14.3,,hartjo01
103,Kelly Oubre Jr.,29,PHI,SF,46,43,34.3,5.5,11.9,.459,1.2,4.2,.293,4.2,7.7,.548,.510,2.2,2.9,.748,1.6,4.7,6.3,1.9,1.5,0.5,1.3,2.9,14.3,,oubreke01
104,Jakob Poeltl,29,TOR,C,45,44,30.9,6.2,10.2,.610,0.0,0.0,.000,6.2,10.2,.613,.610,1.7,2.6,.658,3.5,6.6,10.1,2.8,1.2,1.3,1.9,3.3,14.2,,poeltja01
105,Tre Mann,23,CHO,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,,manntr01
106,Jarrett Allen,26,CLE,C,50,50,28.9,5.6,8.0,.701,0.0,0.0,.000,5.6,8.0,.705,.701,2.5,3.4,.741,2.6,7.6,10.2,1.9,0.9,0.9,1.1,1.4,13.8,,allenja01
107,Naz Reid,25,MIN,C,49,2,25.6,5.1,10.5,.489,2.2,5.2,.423,2.9,5.3,.554,.594,1.4,1.8,.791,0.9,4.1,5.0,1.8,0.7,0.8,1.2,2.3,13.8,,reidna01
108,Dyson Daniels,21,ATL,SG,45,45,33.7,5.7,12.2,.469,1.2,3.6,.323,4.6,8.6,.530,.516,1.1,1.8,.608,1.7,3.6,5.3,3.8,3.0,0.8,1.9,2.6,13.7,,daniedy01
109,Payton Pritchard,27,BOS,PG,50,0,27.6,4.8,10.3,.466,3.2,7.6,.417,1.6,2.7,.604,.620,1.0,1.2,.847,1.4,2.3,3.6,3.4,0.9,0.2,1.0,1.6,13.7,,pritcpa01
110,Amen Thompson,22,HOU,SF,47,20,31.3,5.3,9.7,.544,0.3,1.3,.233,5.0,8.4,.591,.559,2.9,4.1,.715,2.7,5.4,8.1,3.1,1.4,1.2,2.0,2.4,13.7,,thompam01
