Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
146,Daniel Gafford,26,DAL,C,48,25,1045,25.2,.718,.000,.472,13.8,19.4,16.7,9.7,0.9,7.4,12.0,19.7,3.9,1.4,5.3,.244,2.9,1.1,4.0,1.6,,gaffoda01
147,Santi Aldama,24,MEM,PF,42,11,1039,17.7,.591,.457,.140,6.8,22.0,14.6,13.8,1.5,2.0,9.4,19.2,1.9,1.5,3.5,.161,2.6,0.7,3.4,1.4,,aldamsa01
148,LaMelo Ball,23,CHO,PG,31,31,1031,21.2,.548,.527,.239,3.0,14.3,8.5,43.3,2.0,1.0,12.6,37.3,1.3,1.0,2.3,.108,5.2,-0.2,5.0,1.8,,ballla01
149,Georges Niang,31,CLE,PF,50,1,1030,11.3,.619,.648,.085,3.6,15.6,9.7,8.3,0.8,0.6,11.7,16.7,1.1,1.0,2.1,.097,-1.1,-0.7,-1.7,0.1,,niangge01
150,Zaccharie Risacher,19,ATL,SF,43,41,1027,11.0,.514,.427,.228,5.8,10.2,7.9,7.4,1.6,1.9,9.4,20.7,-0.1,0.7,0.6,.027,-2.9,-1.7,-4.5,-0.7,,risacza01
151,Al Horford,38,BOS,C,39,25,1027,11.7,.546,.709,.058,4.5,17.2,10.8,9.9,1.2,3.0,8.9,13.2,0.9,1.4,2.3,.110,-0.5,0.9,0.4,0.6,,horfoal01
152,Franz Wagner,23,ORL,SF,31,31,1026,22.3,.570,.337,.314,3.0,17.0,9.5,30.7,2.2,1.3,9.7,31.9,1.9,1.6,3.5,.164,4.2,1.3,5.5,2.0,,wagnefr01
153,De'Andre Hunter,27,ATL,SF,36,3,1025,15.7,.613,.495,.369,2.6,11.8,7.1,7.7,1.3,0.5,9.2,24.3,1.6,0.6,2.2,.101,0.7,-1.6,-0.9,0.3,,huntede01
154,Aaron Wiggins,26,OKC,SG,48,15,1023,14.9,.590,.463,.100,5.3,12.3,8.9,10.4,1.6,1.1,9.3,18.7,1.4,1.8,3.1,.147,0.6,0.2,0.8,0.7,,wiggiaa01
155,Keon Ellis,25,SAC,SG,47,11,1022,13.7,.649,.705,.201,4.0,8.2,6.1,7.4,3.2,3.4,12.1,13.1,1.4,1.3,2.7,.125,0.2,1.9,2.1,1.1,,elliske01
156,Jabari Smith Jr.,21,HOU,PF,33,33,1021,12.5,.568,.505,.240,6.0,16.8,11.2,4.4,0.6,2.8,8.0,15.1,1.4,1.3,2.7,.128,-0.5,0.3,-0.2,0.4,,smithja05
157,Dejounte Murray,28,NOP,PG,31,31,1012,15.6,.494,.352,.251,1.7,20.3,10.7,35.0,3.0,1.1,16.2,27.3,-0.6,0.9,0.3,.015,-1.0,-0.4,-1.4,0.1,,murrade01
158,Bobby Portis,29,MIL,PF,41,5,1011,17.3,.541,.297,.125,7.7,26.1,17.2,12.3,1.3,1.9,9.0,24.0,0.6,1.4,2.1,.098,0.3,-0.7,-0.4,0.4,,portibo01
159,Clint Capela,30,ATL,C,45,41,1010,17.9,.577,.000,.258,15.2,28.4,21.5,7.8,1.2,4.1,10.7,16.6,1.5,1.3,2.8,.133,-0.7,-0.4,-1.1,0.2,,capelca01
160,Jaime Jaquez Jr.,23,MIA,SF,43,10,1004,13.6,.532,.261,.348,6.0,15.9,11.0,17.3,2.4,0.8,14.8,19.7,0.3,1.3,1.6,.076,-2.2,0.6,-1.6,0.1,,jaqueja01
161,Jalen Suggs,23,ORL,PG,35,35,1002,14.5,.536,.503,.229,2.5,14.6,8.2,22.2,2.5,3.2,16.2,27.4,-0.6,1.7,1.1,.054,-0.7,1.1,0.5,0.6,,suggsja01
162,Javonte Green,31,NOP,SG,45,17,1000,11.2,.575,.463,.322,5.1,12.7,8.7,5.4,2.4,2.7,10.3,11.0,0.8,0.5,1.4,.066,-2.3,0.2,-2.1,0.0,,greenja02
163,Dalton Knecht,23,LAL,SF,48,12,994,12.5,.598,.609,.161,2.8,13.6,8.4,6.1,0.8,0.3,6.0,17.9,1.2,0.6,1.7,.084,-0.5,-1.9,-2.4,-0.1,,knechda01
164,Grayson Allen,29,PHO,SG,40,1,989,14.6,.649,.747,.234,2.9,12.0,7.6,11.1,1.9,1.1,10.9,16.8,1.6,0.6,2.2,.108,1.4,-0.7,0.6,0.7,,allengr01
165,Jonas Valančiūnas,32,WAS,C,49,12,983,20.7,.602,.064,.251,12.4,30.5,21.3,18.9,1.1,2.6,15.8,23.6,1.4,0.8,2.2,.108,0.9,-0.7,0.2,0.6,,valanjo01
166,Wendell Carter Jr.,25,ORL,C,38,26,980,13.6,.527,.327,.418,7.8,26.3,16.4,13.9,1.6,2.0,10.6,15.5,0.9,1.7,2.6,.125,-2.2,1.3,-0.9,0.3,,cartewe01
167,Brandon Boston Jr.,23,NOP,SG,41,10,978,12.9,.535,.362,.217,2.9,12.1,7.3,14.1,2.5,0.8,10.9,19.8,0.3,0.4,0.8,.037,-2.2,-0.4,-2.5,-0.1,,bostobr01
168,Jake LaRavia,23,MEM,PF,46,0,977,13.6,.610,.375,.392,7.4,14.6,11.1,16.5,2.1,1.8,19.7,14.3,1.3,1.4,2.7,.131,0.0,1.5,1.5,0.9,,laravja01
169,Draymond Green,34,GSW,PF,35,33,975,11.7,.528,.527,.273,3.7,19.7,11.4,26.5,1.8,3.7,23.9,15.6,0.0,1.4,1.5,.071,-2.3,2.4,0.1,0.5,,greendr01
170,Kris Dunn,30,LAC,PG,43,29,968,10.3,.498,.526,.048,3.5,12.6,8.1,16.5,3.3,1.4,15.8,13.6,-0.1,1.7,1.7,.083,-3.6,3.1,-0.4,0.4,,dunnkr01
171,Cody Martin,29,CHO,SF,39,8,967,11.8,.528,.463,.183,4.3,15.5,9.7,13.5,2.2,2.7,12.7,14.5,0.4,1.2,1.6,.078,-2.2,1.2,-1.0,0.2,,martico01
172,Devin Vassell,24,SAS,SG,32,21,964,13.4,.536,.459,.156,2.3,10.2,6.3,15.6,1.8,1.5,9.8,23.5,0.1,0.7,0.8,.042,-0.8,-0.8,-1.6,0.1,,vassede01
173,Goga Bitadze,25,ORL,C,40,36,963,20.0,.634,.076,.343,12.4,28.4,19.9,15.8,1.8,6.4,16.0,15.5,1.8,2.0,3.9,.192,0.2,2.9,3.1,1.2,,bitadgo01
174,Paul George,34,PHI,PF,30,30,961,15.6,.544,.457,.180,2.3,19.1,10.3,23.9,2.6,1.2,14.8,25.5,0.0,1.0,1.0,.051,0.3,0.1,0.4,0.6,,georgpa01
175,Nikola Jović,21,MIA,PF,39,10,957,14.8,.603,.552,.254,2.8,14.7,8.8,17.2,1.8,1.1,12.1,18.4,1.3,1.0,2.3,.116,0.3,0.3,0.6,0.6,,jovicni01
176,Miles McBride,24,NYK,PG,41,0,954,13.0,.551,.584,.127,3.9,7.8,5.9,15.2,1.8,0.7,7.9,16.8,1.4,0.7,2.1,.105,0.2,-0.4,-0.1,0.4,,mcbrimi01
177,Caleb Martin,29,PHI,SF,31,24,943,10.3,.531,.375,.319,5.1,12.2,8.4,10.4,1.8,2.2,14.0,14.4,0.2,0.6,0.8,.043,-2.1,-0.1,-2.2,0.0,,martica02
